tp_measure,correlation_with_tp01,p_value,sample_size,significance,strength
TP02,0.9039629543375362,2.7007979351871326e-132,355,Highly Significant,Strong
TP03,0.8716027090215904,2.4709374797404697e-111,355,Highly Significant,Strong
TP04,0.950822576439002,9.32420066250535e-182,355,Highly Significant,Strong
TP05,0.8795907257894251,6.190957494575146e-116,355,Highly Significant,Strong
TP06,0.905878887313142,9.183179598913888e-134,355,Highly Significant,Strong
TP07,0.8026764590348335,3.0981122383836764e-81,355,Highly Significant,Strong
TP08,0.8638723988101815,3.6377986910302685e-107,355,Highly Significant,Strong
TP09,0.8306398470741782,8.757528767212816e-92,355,Highly Significant,Strong
TP10,0.6763909075638916,8.260469319659569e-49,355,Highly Significant,Moderate
TP11,0.7090818467338048,1.6369762354464868e-55,355,Highly Significant,Strong
TP12,0.6324484559915132,4.674583373518502e-41,355,Highly Significant,Moderate
